dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Xpander,522.000.000,Mitsubishi,Số sàn,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Explorer,1.399.000.000,Ford,Tự động,SUV / Cross over,60000,2016,Xăng,8,Đã sử dụng,Mỹ
Fortuner,960.000.000,Toyota,Tự động,SUV / Cross over,33777,2019,Xăng,7,Đã sử dụng,Nước khác
Grand Starex,485.000.000,Hyundai,Số sàn,Minivan (MPV),112000,2013,Dầu,9,Đã sử dụng,Hàn Quốc
EcoSport,542.000.000,Ford,Tự động,SUV / Cross over,29000,2018,Xăng,5,Đã sử dụng,Việt Nam
Trailblazer,645.000.000,Chevrolet,Tự động,,62000,2018,Dầu,7,Đã sử dụng,Thái Lan
Elantra,520.000.000,Hyundai,Tự động,Sedan,20000,2018,Xăng,5,Đã sử dụng,Việt Nam
Yaris,455.000.000,Toyota,Tự động,Hatchback,27000,2014,Xăng,5,Đã sử dụng,Việt Nam
EcoSport,420,Ford,Tự động,SUV / Cross over,200000,2014,Xăng,5,Đã sử dụng,Việt Nam
S Class,2.585.000.000,Mercedes Benz,Tự động,Sedan,40000,2015,Xăng,5,Đã sử dụng,Việt Nam
Innova,585.000.000,Toyota,Số sàn,Minivan (MPV),34567,2019,Xăng,8,Đã sử dụng,Việt Nam
Lux,800.000.000,Vinfast,Tự động,Sedan,14000,2019,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,85.000.000,Hyundai,Số sàn,Sedan,,2021,,5,Mới,Việt Nam
K3,469.000.000,Kia,Tự động,Sedan,66789,2015,Xăng,5,Đã sử dụng,
500,410.000.000,Fiat,Tự động,Hatchback,50000,2009,Xăng,4,Đã sử dụng,
Dòng khác,535.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nước khác
Seltos,689.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Grand Starex,615.000.000,Hyundai,Số sàn,Van,60000,2016,Dầu,6,Đã sử dụng,Hàn Quốc
Xpander,565.000.000,Mitsubishi,Tự động,Minivan (MPV),17000,2020,Xăng,7,Đã sử dụng,
Rondo,465.000.000,Kia,Số sàn,Minivan (MPV),,2018,Xăng,7,Đã sử dụng,Việt Nam
Sorento,999.000.000,Kia,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Captiva,618.000.000,Chevrolet,Tự động,SUV / Cross over,43000,2018,Xăng,7,Đã sử dụng,Việt Nam
X6,715.000.000,BMW,Tự động,SUV / Cross over,115000,2009,Xăng,5,Đã sử dụng,Mỹ
C Class,355.000.000,Mercedes Benz,Tự động,Sedan,100000,2008,Xăng,5,Đã sử dụng,
Dmax,199.000.000,Isuzu,Số sàn,Pick-up (bán tải),210000,2007,Dầu,,Đã sử dụng,
5 Series,1.800.000.000,BMW,Tự động,Sedan,18000,2018,Xăng,4,Đã sử dụng,Đức
Navara,535.000.000,Nissan,Tự động,Pick-up (bán tải),400000,2017,Dầu,5,Đã sử dụng,
Vios,518.000.000,Toyota,Tự động,Sedan,8000,2020,Xăng,5,Đã sử dụng,
Swift,499.000.000,Suzuki,Tự động,Hatchback,20,2019,Xăng,5,Đã sử dụng,Thái Lan
C Class,1.690.000.000,Mercedes Benz,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cayenne,2.450.000.000,Porsche,Tự động,SUV / Cross over,60000,2014,Xăng,5,Đã sử dụng,Đức
Range Rover Evoque,1.395.000.000,LandRover,Tự động,SUV / Cross over,110000,2014,Xăng,8,Đã sử dụng,Nước khác
Polo,441.000.000,Volkswagen,Tự động,Hatchback,33000,2016,Xăng,5,Đã sử dụng,Nước khác
Everest,840.000.000,Ford,Tự động,SUV / Cross over,60000,2016,Dầu,7,Đã sử dụng,Mỹ
Innova,318.000.000,Toyota,Tự động,Minivan (MPV),135,2009,Xăng,8,Đã sử dụng,
Matiz,85.000.000,Daewoo,Số sàn,Hatchback,180000,2006,Xăng,5,Đã sử dụng,Hàn Quốc
3,565.000.000,Mazda,Tự động,Hatchback,40000,2018,Xăng,5,Đã sử dụng,Việt Nam
Sorento,645.000.000,Kia,Tự động,SUV / Cross over,70000,2016,Dầu,7,Đã sử dụng,Việt Nam
Kona,582.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
City,599.000.000,Honda,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Innova,216.000.000,Toyota,Số sàn,Minivan (MPV),123123,2006,Xăng,8,Đã sử dụng,Nhật Bản
LS,1.250.000.000,Lexus,Tự động,Sedan,110000,2008,Xăng,4,Đã sử dụng,Nhật Bản
Jolie,135.000.000,Mitsubishi,Số sàn,,95999,2005,Xăng,8,Đã sử dụng,
K3,559.000.000,Kia,Tự động,Sedan,,2021,,5,Mới,Hàn Quốc
S Class,3.999.000.000,Mercedes Benz,Tự động,Sedan,16000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cruze,359.000.000,Chevrolet,Tự động,Sedan,53000,2015,Xăng,5,Đã sử dụng,Việt Nam
Spark,96.000.000,Chevrolet,Tự động,,15,2010,,,Đã sử dụng,
3,590.000.000,Mazda,Tự động,Sedan,68000,2018,Xăng,5,Đã sử dụng,Việt Nam
Vios,430.000.000,Toyota,Tự động,Sedan,7200,2017,Xăng,5,Đã sử dụng,Việt Nam
3 Series,690.000.000,BMW,Tự động,Sedan,79000,2013,Xăng,4,Đã sử dụng,Đức
CX 5,798.000.000,Mazda,Tự động,SUV / Cross over,36000,2018,Xăng,5,Đã sử dụng,Việt Nam
Transit,190.000.000,Ford,Số sàn,Van,100000,2008,Dầu,6,Đã sử dụng,Mỹ
Fortuner,1.015.000.000,Toyota,Tự động,SUV / Cross over,25000,2020,Dầu,7,Đã sử dụng,Việt Nam
Spark,82,Chevrolet,Số sàn,Hatchback,120000,2010,Xăng,5,Đã sử dụng,Việt Nam
Forte,295.000.000,Kia,Tự động,Sedan,128000,2009,Xăng,5,Đã sử dụng,
Dòng khác,564.000.000,Nissan,Số sàn,Kiểu dáng khác,,2021,Dầu,Khác,Mới,Việt Nam
Ertiga,559.900.000,Suzuki,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nước khác
C Class,999.000.000,Mercedes Benz,Tự động,Sedan,50000,2015,Xăng,5,Đã sử dụng,Đức
Dòng khác,100.000.000,Hãng khác,Số sàn,Kiểu dáng khác,1000000,2007,Dầu,2,Đã sử dụng,Trung Quốc
Colorado,500.000.000,Chevrolet,Số sàn,Pick-up (bán tải),145000,2013,Dầu,5,Đã sử dụng,Thái Lan
C Class,1.065.000.000,Mercedes Benz,Tự động,Sedan,24000,2016,Xăng,5,Đã sử dụng,Việt Nam
Raize,527.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Ấn Độ
CX 5,880.000.000,Mazda,Tự động,SUV / Cross over,15000,2019,Xăng,5,Đã sử dụng,Nước khác
Innova,519.000.000,Toyota,Số sàn,Minivan (MPV),72000,2017,Xăng,8,Đã sử dụng,Việt Nam
City,535.000.000,Honda,Tự động,,25000,2020,Xăng,,Đã sử dụng,Việt Nam
Morning,348.000.000,Kia,Tự động,Hatchback,12000,2019,Xăng,5,Đã sử dụng,Việt Nam
Jolie,69.000.000,Mitsubishi,Số sàn,Sedan,25000,2001,Xăng,8,Đã sử dụng,Việt Nam
Accent,485.000.000,Hyundai,Tự động,Sedan,20000,2018,Xăng,5,Đã sử dụng,Việt Nam
K3,559.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Accent,480.000.000,Hyundai,Tự động,Sedan,20000,2018,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,480.000.000,Hãng khác,Tự động,,8500,2020,,,Đã sử dụng,
Yaris,668.000.000,Toyota,Tự động,Hatchback,,2021,Xăng,5,Mới,Thái Lan
Ertiga,499.000.000,Suzuki,Tự động,Minivan (MPV),8500,2020,Xăng,5,Đã sử dụng,Nhật Bản
Fortuner,960.000.000,Toyota,Tự động,SUV / Cross over,33777,2019,Xăng,7,Đã sử dụng,Việt Nam
3008,989.000.000,Peugeot,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
2,437.000.000,Mazda,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Corolla Altis,733.000.000,Toyota,Tự động,Sedan,,2021,,5,Mới,Việt Nam
2,479.000.000,Mazda,Bán tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Fortuner,990.000.000,Toyota,Tự động,SUV / Cross over,30000,2020,Dầu,5,Đã sử dụng,Việt Nam
EcoSport,520.000.000,Ford,Tự động,SUV / Cross over,36000,2018,Xăng,5,Đã sử dụng,
Kona,750.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
S Class,3.400.000.000,Mercedes Benz,Tự động,Sedan,19000,2018,Xăng,5,Đã sử dụng,Đức
XL 7,529.000.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Explorer,1.439.000.000,Ford,Tự động,SUV / Cross over,43000,2017,Xăng,8,Đã sử dụng,Mỹ
Grand i10,288.000.000,Hyundai,Số sàn,Sedan,38000,2016,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,275.000.000,Hyundai,Tự động,Hatchback,60000,2014,Xăng,5,Đã sử dụng,Việt Nam
Innova,576.000.000,Toyota,Số sàn,Minivan (MPV),58000,2019,Xăng,8,Đã sử dụng,Việt Nam
Civic,702.000.000,Honda,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,Thái Lan
Ranger,660.000.000,Ford,Tự động,Pick-up (bán tải),2300,2020,,5,Đã sử dụng,Thái Lan
Everest,1.399.000.000,Ford,Tự động,,,2021,Dầu,7,Mới,Thái Lan
Elantra,122.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Elantra,500.000.000,Hyundai,Tự động,Sedan,100000,2016,Xăng,5,Đã sử dụng,Việt Nam
GLC,2.099.000.000,Mercedes Benz,Tự động,,,2021,,,Mới,
Sprinter,185.000,Mercedes Benz,Số sàn,Van,33333,2008,Dầu,6,Đã sử dụng,Việt Nam
EcoSport,565.000.000,Ford,Tự động,SUV / Cross over,10000,2020,Xăng,5,Đã sử dụng,
Fortuner,560.000.000,Toyota,Tự động,SUV / Cross over,80000,2013,Xăng,7,Đã sử dụng,Việt Nam
Innova,670.000.000,Toyota,Số sàn,Minivan (MPV),22000,2020,Xăng,8,Đã sử dụng,
Corolla Cross,910.000.000,Toyota,Tự động,SUV / Cross over,,2021,Động cơ Hybrid,5,Mới,Thái Lan
Grand i10,175.000.000,Hyundai,Số sàn,Hatchback,112233,2014,Xăng,5,Đã sử dụng,Ấn Độ
Santa Fe,1.020.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
C Class,1.020.000.000,Mercedes Benz,Tự động,Sedan,50000,2017,Xăng,5,Đã sử dụng,Đức
Wigo,318.000.000,Toyota,Tự động,Hatchback,27000,2019,Xăng,5,Đã sử dụng,Thái Lan
Fadil,375.000.000,Vinfast,Tự động,Hatchback,20,2021,Xăng,5,Đã sử dụng,Việt Nam
GX,1.650.000.000,Lexus,Tự động,SUV / Cross over,100000,2010,Xăng,8,Đã sử dụng,Nước khác
Ranger,475.000.000,Ford,Tự động,Pick-up (bán tải),80000,2015,Dầu,5,Đã sử dụng,Thái Lan
City,390.000.000,Honda,Tự động,Sedan,90000,2016,Xăng,5,Đã sử dụng,Việt Nam
Ciaz,529.000.000,Suzuki,Tự động,Sedan,,2020,Xăng,5,Mới,Thái Lan
C Class,395.000.000,Mercedes Benz,Tự động,Sedan,10245,2010,Xăng,5,Đã sử dụng,Việt Nam
Hiace,88.000.000,Toyota,Số sàn,Van,200000,2003,Xăng,6,Đã sử dụng,
Grandis,26.000.000,Mitsubishi,Tự động,Minivan (MPV),190,2005,Xăng,7,Đã sử dụng,Việt Nam
Morning,228.000.000,Kia,Tự động,Hatchback,,2014,Xăng,2,Đã sử dụng,Hàn Quốc
i30,295.000.000,Hyundai,Tự động,Hatchback,30000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Xpander,620.000.000,Mitsubishi,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nước khác
EcoSport,550.000.000,Ford,Tự động,SUV / Cross over,30000,2018,Xăng,5,Đã sử dụng,
Sorento,999.000.000,Kia,Tự động,,,2021,,,Mới,
A3,295.000.000,Audi,Tự động,SUV / Cross over,250000,2005,Xăng,5,Đã sử dụng,Đức
Prado,650.000.000,Toyota,Tự động,SUV / Cross over,,2004,Xăng,7,Đã sử dụng,Nhật Bản
Corolla Cross,720.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
CX 3,649.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Civic,240.000.000,Honda,Số sàn,Sedan,12,2008,Xăng,5,Đã sử dụng,Việt Nam
Transit,330.000.000,Ford,Số sàn,Kiểu dáng khác,37,2016,Dầu,16,Đã sử dụng,Việt Nam
City,375.000.000,Honda,Số sàn,Sedan,34450,2016,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,850.000.000,Toyota,Tự động,SUV / Cross over,38000,2017,Xăng,7,Đã sử dụng,Nước khác
Ertiga,515.000.000,Suzuki,Tự động,Minivan (MPV),1700,2020,Xăng,5,Đã sử dụng,Nước khác
Xpander,539.000.000,Mitsubishi,Tự động,Minivan (MPV),260000,2019,Xăng,7,Đã sử dụng,Nước khác
Sorento,999.000.000,Kia,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Fortuner,405.000.000,Toyota,Tự động,SUV / Cross over,100000,2010,Xăng,7,Đã sử dụng,Việt Nam
2,430.000.000,Mazda,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Optima,685.000.000,Kia,Tự động,Sedan,26000,2017,Xăng,5,Đã sử dụng,
Cerato,495.000.000,Kia,Tự động,Sedan,46000,2016,Xăng,5,Đã sử dụng,Việt Nam
Accent,386.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Fortuner,620.000.000,Toyota,Tự động,SUV / Cross over,60000,2016,Xăng,8,Đã sử dụng,Việt Nam
Fiesta,425.000.000,Ford,Tự động,Hatchback,18000,2018,Xăng,5,Đã sử dụng,
Ranger,1.202.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Elantra,555.000.000,Hyundai,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,Việt Nam
Zinger,325.000.000,Mitsubishi,Tự động,SUV / Cross over,140000,2011,Xăng,8,Đã sử dụng,
5,765.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Optima,685.000.000,Kia,Tự động,Sedan,27000,2017,Xăng,5,Đã sử dụng,Việt Nam
Ranger,630.000.000,Ford,Số sàn,Pick-up (bán tải),85000,2019,Dầu,5,Đã sử dụng,
3,445.000.000,Mazda,Tự động,Sedan,73000,2015,Xăng,5,Đã sử dụng,Việt Nam
2,435.000.000,Mazda,Tự động,Sedan,42000,2018,Xăng,4,Đã sử dụng,Việt Nam
Accent,395.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Fortuner,385.000.000,Toyota,Tự động,SUV / Cross over,180000,2010,Xăng,7,Đã sử dụng,Việt Nam
Xpander,575.000.000,Mitsubishi,Tự động,Minivan (MPV),8000,2020,Xăng,5,Đã sử dụng,Nước khác
Cerato,435.000.000,Kia,Số sàn,Sedan,37,2018,Xăng,5,Đã sử dụng,
Vios,285.000.000,Toyota,Số sàn,Sedan,110000,2013,Xăng,5,Đã sử dụng,Nhật Bản
Santa Fe,1.080.000.000,Hyundai,Tự động,SUV / Cross over,32000,2019,Xăng,7,Đã sử dụng,Việt Nam
CR V,925.000.000,Honda,Tự động,SUV / Cross over,35000,2020,Xăng,7,Đã sử dụng,Thái Lan
Corolla Altis,5.550.000,Toyota,Tự động,Sedan,55000,2015,Xăng,5,Đã sử dụng,
City,15.000.000,Honda,Tự động,Sedan,60000,2019,Xăng,5,Đã sử dụng,Nhật Bản
CX 5,655.000.000,Mazda,Tự động,SUV / Cross over,61000,2016,Xăng,5,Đã sử dụng,Việt Nam
Spark,195.000.000,Chevrolet,Số sàn,Van,50000,2016,Xăng,2,Đã sử dụng,Việt Nam
Innova,600.000.000,Toyota,Số sàn,Minivan (MPV),22800,2019,Xăng,8,Đã sử dụng,
323,48.000.000,Mazda,Số sàn,Sedan,12468,1995,Xăng,5,Đã sử dụng,Nhật Bản
Vitara,6.500.000,Suzuki,Tự động,SUV / Cross over,80000,2014,Xăng,5,Đã sử dụng,Nhật Bản
3,528.000.000,Mazda,Tự động,Sedan,42000,2017,Xăng,5,Đã sử dụng,Việt Nam
CR V,925.000.000,Honda,Tự động,SUV / Cross over,37000,2020,Xăng,7,Đã sử dụng,Thái Lan
Innova,700.000.000,Toyota,Tự động,Minivan (MPV),60000,2019,Xăng,8,Đã sử dụng,
Tourneo,1.290.000.000,Ford,Tự động,,58000,2019,Xăng,7,Đã sử dụng,Việt Nam
GL Class,1.990.000.000,Mercedes Benz,Tự động,SUV / Cross over,51000,2014,Dầu,7,Đã sử dụng,Mỹ
Accent,398.100.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Innova,630.000.000,Toyota,Số sàn,Minivan (MPV),24000,2020,Xăng,8,Đã sử dụng,Việt Nam
MX 6,725.000.000,Mazda,Tự động,Sedan,55000,2018,,5,Đã sử dụng,Việt Nam
Innova,395.000.000,Toyota,Số sàn,Minivan (MPV),87279,2016,Xăng,8,Đã sử dụng,
CX 5,880.000.000,Mazda,Tự động,SUV / Cross over,26000,2020,Xăng,5,Đã sử dụng,Việt Nam
Innova,630.000.000,Toyota,Số sàn,Minivan (MPV),24000,2020,Xăng,5,Đã sử dụng,Việt Nam
NX,2.390.000.000,Lexus,Tự động,SUV / Cross over,13000,2019,,5,Đã sử dụng,Nhật Bản
Morning,195.000.000,Kia,Số sàn,Hatchback,65000,2015,Xăng,5,Đã sử dụng,
Vios,478.000.000,Toyota,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
2,456.000.000,Mazda,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Everest,350.000.000,Ford,Tự động,SUV / Cross over,34000,2020,Dầu,5,Đã sử dụng,Thái Lan
Everest,350.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Hiace,1.176.000.000,Toyota,Số sàn,Van,,2021,Dầu,16,Mới,Thái Lan
Fortuner,960.000.000,Toyota,Tự động,SUV / Cross over,33777,2019,Xăng,7,Đã sử dụng,Nước khác
Morning,217.000.000,Kia,Tự động,Hatchback,93000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Innova,590.000.000,Toyota,Số sàn,Minivan (MPV),51200,2019,Xăng,8,Đã sử dụng,Việt Nam
Sedona,1.088.000.000,Kia,Tự động,Minivan (MPV),5600,2021,Dầu,7,Đã sử dụng,Việt Nam
Vios,385.000.000,Toyota,Số sàn,Sedan,50000,2018,Xăng,5,Đã sử dụng,Việt Nam
Seltos,629.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Outlander,765.000.000,Mitsubishi,Tự động,SUV / Cross over,20000,2018,Xăng,7,Đã sử dụng,
3,695.000.000,Mazda,Tự động,Sedan,12000,2020,Xăng,5,Đã sử dụng,
Matiz,52.000.000,Daewoo,Số sàn,Hatchback,12345,2007,Xăng,5,Đã sử dụng,Việt Nam
Innova,320.000.000,Toyota,Số sàn,Minivan (MPV),283000,2010,Xăng,8,Đã sử dụng,Việt Nam
Sedona,1.065.000.000,Kia,Tự động,Minivan (MPV),20000,2020,Dầu,7,Đã sử dụng,Việt Nam
Xpander,545.000.000,Mitsubishi,Số sàn,Minivan (MPV),900,2021,Xăng,8,Đã sử dụng,Việt Nam
Ranger,610.000.000,Ford,Số sàn,Pick-up (bán tải),,2021,,5,Mới,Việt Nam
Xpander,630.000.000,Mitsubishi,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nhật Bản
Innova,575.000.000,Toyota,Số sàn,Minivan (MPV),70000,2018,Xăng,8,Đã sử dụng,Việt Nam
Ranger,630.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Fortuner,850.000.000,Toyota,Tự động,SUV / Cross over,50000,2017,Xăng,7,Đã sử dụng,Nước khác
Pajero Sport,1.345.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
EcoSport,518.000.000,Ford,Tự động,SUV / Cross over,38000,2018,Xăng,5,Đã sử dụng,Việt Nam
Transit,347.000.000,Ford,Số sàn,Minivan (MPV),138000,2016,Dầu,16,Đã sử dụng,Nước khác
Innova,550.000.000,Toyota,Số sàn,Minivan (MPV),3200,2017,Xăng,8,Đã sử dụng,Việt Nam
Hiace,80.000.000,Toyota,Số sàn,Van,200000,2000,Xăng,7,Đã sử dụng,
Navara,465.000.000,Nissan,Tự động,Pick-up (bán tải),132000,2017,Dầu,5,Đã sử dụng,Nhật Bản
Civic,325.000.000,Honda,Tự động,Sedan,99000,2009,Xăng,5,Đã sử dụng,Việt Nam
Sorento,560.000.000,Kia,Tự động,SUV / Cross over,77000,2016,Xăng,7,Đã sử dụng,Việt Nam
Innova,575.000.000,Toyota,Số sàn,Minivan (MPV),68000,2018,Xăng,8,Đã sử dụng,Việt Nam
CX 5,650.000.000,Mazda,Tự động,SUV / Cross over,90000,2017,Xăng,5,Đã sử dụng,Việt Nam
Pickup,95.000.000,UAZ,Số sàn,Pick-up (bán tải),1000,2007,Xăng,9,Đã sử dụng,Nước khác
EcoSport,525.000.000,Ford,Tự động,SUV / Cross over,36000,2018,Xăng,5,Đã sử dụng,Việt Nam
Rush,605.000.000,Toyota,Tự động,SUV / Cross over,500,2021,Xăng,7,Đã sử dụng,Nước khác
Tucson,835.000.000,Hyundai,Tự động,SUV / Cross over,15000,2020,Xăng,5,Đã sử dụng,Việt Nam
MX 3,999.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
E Class,1.039.000.000,Mercedes Benz,Tự động,Sedan,35000,2015,Xăng,5,Đã sử dụng,Việt Nam
Zinger,280.000.000,Mitsubishi,Số sàn,SUV / Cross over,300000,2009,Xăng,8,Đã sử dụng,Việt Nam
Santa Fe,1.340.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Xpander,515.000.000,Mitsubishi,Tự động,Hatchback,26000,2020,Xăng,7,Đã sử dụng,Nhật Bản
CR V,925.000.000,Honda,Tự động,SUV / Cross over,31000,2020,Xăng,5,Đã sử dụng,Thái Lan
CR V,925.000.000,Honda,Tự động,SUV / Cross over,37000,2020,Xăng,5,Đã sử dụng,Thái Lan
Fortuner,1.020.000.000,Toyota,Tự động,SUV / Cross over,14000,2020,Dầu,7,Đã sử dụng,Việt Nam
S Class,2.750.000.000,Mercedes Benz,Tự động,Sedan,69000,2016,Xăng,5,Đã sử dụng,Việt Nam
CR V,925.000.000,Honda,Tự động,SUV / Cross over,37000,2020,Xăng,7,Đã sử dụng,Thái Lan
Dòng khác,2.349.000.000,Volkswagen,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Đức
Spark,100.000.000,Chevrolet,Số sàn,Hatchback,30000,2008,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,250.000.000,Hyundai,Số sàn,Sedan,65789,2016,Xăng,5,Đã sử dụng,Hàn Quốc
Mondeo,155,Ford,Tự động,Sedan,260000,2004,Xăng,5,Đã sử dụng,Mỹ
Captiva,210.000.000,Chevrolet,Số sàn,SUV / Cross over,20000,2007,Xăng,7,Đã sử dụng,Mỹ
Sunny,55.000.000,Nissan,Tự động,,7777,1990,,5,Đã sử dụng,Hàn Quốc
CX 5,798.000.000,Mazda,Tự động,SUV / Cross over,36000,2019,Xăng,5,Đã sử dụng,Việt Nam
Camry,445.000.000,Toyota,Tự động,Sedan,80000,2009,Xăng,5,Đã sử dụng,Đài Loan
Innova,580.000.000,Toyota,Số sàn,Minivan (MPV),60000,2018,Xăng,8,Đã sử dụng,Việt Nam
X trail,799.000.000,Nissan,Tự động,SUV / Cross over,40000,2018,Xăng,7,Đã sử dụng,Việt Nam
Zace,110.000.000,Toyota,Số sàn,Kiểu dáng khác,140000,1999,Xăng,7,Đã sử dụng,Nhật Bản
Land Cruiser,305.000.000,Toyota,Số sàn,SUV / Cross over,155000,2002,Xăng,7,Đã sử dụng,Việt Nam
Sorento,568.000.000,Kia,Tự động,SUV / Cross over,88000,2015,Xăng,5,Đã sử dụng,Việt Nam
CJ,190.000.000,Jeep,Số sàn,Kiểu dáng khác,1000,trước năm 1980,Dầu,5,Đã sử dụng,Mỹ
Dòng khác,160.000.000,Jeep,Số sàn,Mui trần,8668,1988,Xăng,4,Đã sử dụng,Mỹ
Everest,1.112.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Yaris,345.000.000,Toyota,Tự động,Hatchback,80000,2011,Xăng,5,Đã sử dụng,Nhật Bản
Avella,1.300.000.000,Kia,Số sàn,Sedan,1000000,2010,Xăng,2,Đã sử dụng,Nhật Bản
HR-V,871.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
City,5.000.000,Honda,Tự động,,,2021,,,Mới,
Mondeo,225.000.000,Ford,Tự động,Sedan,111000,2003,Xăng,5,Đã sử dụng,Mỹ
Corolla,68.000.000,Toyota,Số sàn,Coupe (2 cửa),250000,1983,Xăng,4,Đã sử dụng,Nhật Bản
Ranger,576.000.000,Ford,Số sàn,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
C Class,1.000.000.000,Mercedes Benz,Tự động,Sedan,60000,2015,Xăng,5,Đã sử dụng,Việt Nam
XL 7,559.900.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Morning,218.000.000,Kia,Tự động,Hatchback,70000,2013,Xăng,5,Đã sử dụng,Việt Nam
Ranger,367.899.999,Ford,Số sàn,Pick-up (bán tải),8386,2013,Dầu,5,Đã sử dụng,Thái Lan
Vios,358.000.000,Toyota,Số sàn,Sedan,8686,2016,Xăng,5,Đã sử dụng,Việt Nam
Vios,468.000.000,Toyota,Tự động,Sedan,78009,2018,Xăng,5,Đã sử dụng,Việt Nam
City,400.000.000,Honda,Tự động,Sedan,90000,2015,Xăng,5,Đã sử dụng,Nhật Bản
City,599.000.000,Honda,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
EcoSport,425.000.000,Ford,Tự động,SUV / Cross over,54000,2015,Xăng,5,Đã sử dụng,Mỹ
Range Rover,5.150.000.000,LandRover,Tự động,SUV / Cross over,51806,2014,Xăng,5,Đã sử dụng,Nước khác
Grand i10,410.000.000,Hyundai,Tự động,Hatchback,,2021,Xăng,5,Mới,Hàn Quốc
Vios,120.000.000,Toyota,Số sàn,,300000,2005,Xăng,,Đã sử dụng,
Elantra,429.000.000,Hyundai,Tự động,Sedan,79000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
Elantra,520.000.000,Hyundai,Tự động,Sedan,60000,2018,Xăng,5,Đã sử dụng,Hàn Quốc
Vios,255.000.000,Toyota,Số sàn,Sedan,6886,2011,Xăng,5,Đã sử dụng,Việt Nam
Vivant,168.000.000,Chevrolet,Tự động,SUV / Cross over,150000,2008,Xăng,7,Đã sử dụng,Việt Nam
